date,Mkt-RF,SMB,HML,RMW,CMA,RF
1991-12-31,10.86,-2.41,-4.23,3.67,-3.14,0.38
1992-01-31,-0.59,9.19,4.67,-1.17,3.25,0.34
1992-02-29,1.09,1.3,6.51,0.07,2.25,0.28
1992-03-31,-2.66,-0.89,3.49,-0.06,1.82,0.34
1992-04-30,1.09,-5.75,4.36,1.65,2.4,0.32
1992-05-31,0.3,0.2,1.11,-0.91,0.49,0.28
1992-06-30,-2.33,-2.76,3.24,-0.06,0.95,0.32
1992-07-31,3.78,-0.65,-0.51,1.24,-0.97,0.31
1992-08-31,-2.38,-0.39,-1.09,3.66,-1.64,0.26
1992-09-30,1.19,0.47,-0.19,1.61,-0.68,0.26
1992-10-31,1.02,2.09,-1.98,1.19,-0.91,0.23
1992-11-30,4.14,3.88,-1.52,-0.54,-1.58,0.23
1992-12-31,1.53,1.65,2.64,-0.52,0.83,0.28
1993-01-31,0.93,1.94,5.9,-1.9,2.94,0.23
1993-02-28,0.12,-3.37,6.48,-0.47,4.15,0.22
1993-03-31,2.32,0.09,1.26,-0.22,0.82,0.25
1993-04-30,-3.05,-0.81,2.55,-3.69,1.38,0.24
1993-05-31,2.89,1.94,-3.46,-0.14,-1.03,0.22
1993-06-30,0.3,0.12,2.64,-0.91,1.16,0.25
1993-07-31,-0.34,0.96,2.87,-1.84,2.05,0.24
1993-08-31,3.72,0.08,0.18,-1.52,0.04,0.25
1993-09-30,-0.12,3.02,-0.24,0.25,-0.19,0.26
1993-10-31,1.41,1.86,-2.78,0.61,0.56,0.22
1993-11-30,-1.86,-1.31,-0.78,2.19,-1.03,0.25
1993-12-31,1.65,1.35,0.25,1.14,-0.35,0.23
1994-01-31,2.87,-0.05,1.1,-1.54,1.39,0.25
1994-02-28,-2.55,2.62,-1.52,2.08,-0.94,0.21
1994-03-31,-4.79,-1.03,1.67,0.65,1.39,0.27
1994-04-30,0.68,-1.0,1.66,1.05,1.14,0.27
1994-05-31,0.58,-2.49,0.6,0.64,0.6,0.32
1994-06-30,-3.04,-0.52,1.77,1.05,1.5,0.31
1994-07-31,2.82,-1.87,0.61,-0.66,0.1,0.28
1994-08-31,4.02,1.44,-2.55,0.98,-1.52,0.37
1994-09-30,-2.28,2.71,-1.81,0.56,1.06,0.37
1994-10-31,1.35,-2.22,-1.66,0.18,-0.73,0.38
1994-11-30,-4.03,0.09,-0.73,0.48,-0.53,0.37
1994-12-31,0.86,-0.05,-0.09,0.4,0.36,0.44
1995-01-31,1.8,-3.07,2.59,0.15,-0.65,0.42
1995-02-28,3.63,-0.49,0.99,0.61,-0.4,0.4
1995-03-31,2.19,-0.53,-2.13,-0.13,0.23,0.46
1995-04-30,2.11,-0.26,1.67,0.43,0.82,0.44
1995-05-31,2.9,-2.17,2.28,0.41,0.01,0.54
1995-06-30,2.72,3.05,-2.54,-0.23,-2.39,0.47
1995-07-31,3.71,2.12,-1.58,0.22,-1.58,0.45
1995-08-31,0.55,1.7,2.68,-1.17,1.49,0.47
1995-09-30,3.36,-1.86,-0.11,0.99,0.4,0.43
1995-10-31,-1.51,-4.07,-0.49,1.93,-0.1,0.47
1995-11-30,3.96,-1.06,0.52,-0.57,1.0,0.42
1995-12-31,1.04,0.65,0.24,-1.44,3.02,0.49
1996-01-31,2.26,-2.64,0.46,0.26,2.3,0.43
1996-02-29,1.33,1.77,-1.05,0.16,-1.89,0.39
